PLAYER_NAME,TEAM_ABBREVIATION,POSITION,MISSING_TEAM_USG,PREV_AVG_MIN,PRED_PTS
Daniss Jenkins,DET,PG,62.59762779836883,31.344753684994018,17.706188467911776
Nickeil Alexander-Walker,ATL,SG,16.850201076321216,33.684510314158565,17.618229728629668
Trey Murphy III,NOP,SF,13.709002421963397,35.5384645441024,17.5351285846205
Darius Garland,LAC,PG,30.664131383611533,30.17988451650408,17.507957049128553
Saddiq Bey,NOP,SF,13.709002421963397,32.17025813490933,17.506547619307906
Caleb Love,POR,SG,49.30602147867776,28.240551269267137,17.45056496619822
Karl-Anthony Towns,NYK,C,0.0,29.115818032464887,17.2521054283102
Brooks Barnhizer,OKC,SG,17.10672433673957,29.458374880330343,17.20014608928291
Aaron Gordon,DEN,PF,67.83228034307038,28.79960515244595,16.893597618176766
Kyle Filipowski,UTA,C,124.25715472951893,27.15417807274236,16.597752483752842
Stephon Castle,SAS,PG,31.16501244647648,28.475466006139193,16.5809201241845
Paul Reed,DET,C,62.59762779836883,27.806949599446344,16.417796135133706
